COLUMNS;DELAY_INCREMENTAL_INI;FILTER_COLUMN;PARTITION_COLUMN;FILTER_DATA_TYPE;FILTER_EXP;ID_COLUMN;JOIN_EXPR;PROCESS_ID;SOURCE_SCHEMA;SOURCE_TABLE;SOURCE_TABLE_TYPE;STAGE_TABLE_NAME
dbo.func_cas_todatetime(fecultimod,horultimod) lastmodifydate, compania, tipvehicu, desctvehi1, usuacreac, feccreacio, horcreacio, usuaulmod, fecultimod, horultimod;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');ltrim(rtrim(compania)) + '|' + ltrim(rtrim(tipvehicu));;10;dbo;btiveh1f;m;m_tipo_vehiculo
dbo.func_cas_todatetime(fecultimod,horultimod) lastmodifydate, compania,rtrim(ltrim(sucursal)) sucursal, sucursaori,rtrim(ltrim(almacenori)) almacenori,rtrim(ltrim(docucomalm)) docucomalm, nrocomalm, nromovalm, ciarefer, sucrefer,rtrim(ltrim(docucomal1)) docucomal1, nrocomalm1, ciarefer2, sucrefer2,rtrim(ltrim(docucomal2)) docucomal2, nrocomalm2, sercomalm, nropricoal, sucursades,rtrim(ltrim(almacendes)) almacendes,cast(cast(prvcliemp as int) as varchar(20)) prvcliemp,cast(cast(transport as int) as varchar(20)) transport, vehiculo,cast(cast(chofer as int) as varchar(20)) chofer, oricomalm, feccomalm, feccomalml, feccomalms, proccomalm, tcajcoal, tpescomal, stscomalm, liquidcarg, turnocarga, liquiddesc, turnodesca, doculiquid, nroliquida,rtrim(ltrim(moneda)) moneda, tipcambio, timpcomal, nrocompcon,replace(replace(ccosemisor, char(13),''), char(10),'') ccosemisor,case when flgcontab = 0x46 then 'F' when flgcontab = 0x54 then 'T' end flgcontab,replace(replace(destcontab, char(13),''), char(10),'') destcontab,case when procesan = 0x46 then 'F' when procesan = 0x54 then 'T' end procesan,case when impreso = 0x46 then 'F' when impreso = 0x54 then 'T' end impreso, feccreacio, horcreacio, usuacreac, fecultimod, horultimod, usuaulmod,replace(replace(devcarga, char(13),''), char(10),'') devcarga, doccomdev, nrocomdev,cast(cast(vendedor as int) as varchar(20)) vendedor,cast(cast(zonadist as int) as varchar(20)) zonadist,case when ocimpres = 0x46 then 'F' when ocimpres = 0x54 then 'T' end ocimpres,cast(cast(motivo as int) as varchar(20)) motivo, fech_guia,case when flgobserv = 0x46 then 'F' when flgobserv = 0x54 then 'T' end flgobserv, observacion, anden,case when flgfacturado = 0x46 then 'F' when flgfacturado = 0x54 then 'T' end flgfacturado, tipopedido,case when flgatendido = 0x46 then 'F' when flgatendido = 0x54 then 'T' end flgatendido, fecatendido,case when flgayudante = 0x46 then 'F' when flgayudante = 0x54 then 'T' end flgayudante, nrodua, almrefer, almrefer2, companiades;-4;feccomalms between {0} and {1};;aje_date;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + rtrim(ltrim(sucursal)) + '|' + rtrim(ltrim(nromovalm));;10,20,70;dbo;tcoalm1f;t;t_movimiento_inventario
dbo.func_cas_todatetime(fecmodi,horamodi) lastmodifydate, compania, codocas,replace(replace(desocas, char(13),''), char(10),'') desocas, estocas, usuacrea, feccrea, horacrea, usuamodi, fecmodi, horamodi;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + rtrim(ltrim(codocas));;10;dbo;mocasion1f;m;m_ocasion
dbo.func_cas_todatetime(fecultmod,horultimod) lastmodifydate,ciaordcomp,sucordcomp,transocomp,rtrim(ltrim(docordcomp)) docordcomp,tipordcomp,cast(cast(artorden as bigint) as varchar(100)) artorden,secordcomp,ciaingreso,sucingreso,transing,nronotaing,secing,cantidad,unidad,cantfactur,case when flgfactura = 0x46 then 'F' when flgfactura = 0x54 then 'T' end flgfactura,ciaexped,sucexped,transexped,nroexped,fecingreso,tipodocref,docref,estado,fecent,feccrea,fecultmod,horcrea,horultimod,ultusumod,usucrea;-36;feccrea between {0} and {1};;aje_date;ciaordcomp in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(ciaordcomp)) + '|' + rtrim(ltrim(sucordcomp)) + '|' + rtrim(ltrim(transocomp)) + '|' + rtrim(ltrim(docordcomp)) + '|' + rtrim(ltrim(tipordcomp)) + '|' + rtrim(ltrim(artorden)) + '|' + rtrim(ltrim(secordcomp)) + '|' + rtrim(ltrim(fecent)) + '|' + rtrim(ltrim(ciaingreso)) + '|' + rtrim(ltrim(sucingreso)) + '|' + rtrim(ltrim(transing)) + '|' + rtrim(ltrim(nronotaing)) + '|' + rtrim(ltrim(secing));;30;dbo;tordco4f;t;t_orden_compra_ingreso
dbo.func_cas_todatetime(fecultmod,horultimod) lastmodifydate, compania,rtrim(ltrim(moneda)) moneda, fecha, compra, venta, promedio,cast(cast(tccierrev as int) as varchar(20)) tccierrev,cast(cast(tccierrec as int) as varchar(20)) tccierrec, estado, feccrea, horcrea, usucrea, fecultmod, horultimod, ultusumod;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + rtrim(ltrim(moneda)) + '|' + dbo.func_cas_todateint(fecha);;10,20;dbo;mtcamb1f;m;m_tipo_cambio
dbo.func_cas_todatetime(ultfecmod,ulthormod) lastmodifydate, compania,tipart,desart,usucreac,feccreac,horcreac,ultusumod,ultfecmod,ulthormod;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');ltrim(rtrim(compania)) + '|' + ltrim(rtrim(tipart));;10;dbo;barticb;m;m_tipo_articulo
dbo.func_cas_todatetime(fecultimod,horultimod) lastmodifydate, compania,cast(cast(modulo as int) as varchar(20)) modulo,cast(cast(ruta as int) as varchar(20)) ruta, tipmodulo,replace(replace(descmodulo, char(13),''), char(10),'') descmodulo,cast(cast(qclimodu as int) as varchar(20)) qclimodu, stsmodulo, feccreacio, horcreacio, usuacreac, fecultimod, horultimod, usuaulmod,rtrim(ltrim(sucursal)) sucursal, flgpeligro,cast(cast(codfvtas as int) as varchar(20)) codfvtas;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + rtrim(ltrim(sucursal)) + '|' + cast(codfvtas as varchar(20)) + '|' + cast(modulo as varchar(20));;10;dbo;mestdi4f;m;m_modulo
dbo.func_cas_todatetime(fecmodi,horamodi) lastmodifydate, compania, subgiro,replace(replace(descsgiro, char(13),''), char(10),'') descsgiro, estsgiro, usuacrea, feccrea, horacrea, usuamodi, fecmodi, horamodi;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + rtrim(ltrim(subgiro));;10;dbo;bsgiro1f;m;m_subgiro
dbo.func_cas_todatetime(fecultimod,horultimod) lastmodifydate, compania,cast(cast(zonadist as int) as varchar(20)) zonadist,replace(replace(desczona, char(13),''), char(10),'') desczona,cast(cast(supervisor as int) as varchar(20)) supervisor,cast(cast(discendiis as int) as varchar(20)) discendiis,cast(cast(qclizona as int) as varchar(20)) qclizona, stszona, feccreacio, horcreacio, usuacreac, fecultimod, horultimod, usuaulmod,rtrim(ltrim(sucursal)) sucursal, regvent,cast(cast(cvecuotad as int) as varchar(20)) cvecuotad, canal, subregvent,rtrim(ltrim(pais)) pais;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + rtrim(ltrim(sucursal)) + '|' + cast(zonadist as varchar(20));;10;dbo;view_cas_mestdi2f;m;m_zona
dbo.func_cas_todatetime(fecultmod,horultimod) lastmodifydate, compania, califica5,replace(replace(descrip, char(13),''), char(10),'') descrip, estado, feccrea, horcrea, usucrea, fecultmod, horultimod, ultusumod, califica5_corp;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + rtrim(ltrim(califica5));;10,30;dbo;bartic5f;m;m_categoria
dbo.func_cas_todatetime(fecultmod,horultimod) lastmodifydate, compania, giroempres, girdnom,case when flgagentead = 0x46 then 'F' when flgagentead = 0x54 then 'T' end flgagentead,case when flgciasegu = 0x46 then 'F' when flgciasegu = 0x54 then 'T' end flgciasegu,case when flgnotaria = 0x46 then 'F' when flgnotaria = 0x54 then 'T' end flgnotaria,case when flgbanco = 0x46 then 'F' when flgbanco = 0x54 then 'T' end flgbanco, estado, feccrea, horcrea, usucrea, fecultmod, horultimod, ultusumod, giroequiv, sgiro_corp;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + rtrim(ltrim(giroempres));;10;dbo;bgiro1f;m;m_giro_local
dbo.func_cas_todatetime(fecultmod,horultimod) lastmodifydate, compania,sucursal,empleado,nombcompl,sexo,stscivil,tipdocident,docidentid,fecnacim,estado,feccrea,horcrea,usucrea,fecultmod,horultimod,ultusumod;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');ltrim(rtrim(compania)) + '|' + ltrim(rtrim(empleado));;30;dbo;mpersoef;m;m_empleado
dbo.func_cas_todatetime(fecultimod,horultimod) lastmodifydate, compania,cast(cast(vendedor as int) as varchar(20)) vendedor, handheld, flgintro, prcdesvend, tipvendedo, stsvendedo, feccreacio, horcreacio, usuacreac, fecultimod, horultimod, usuaulmod, flgcomis,cast(cast(codfvtas as int) as varchar(20)) codfvtas,rtrim(ltrim(sucursal)) sucursal, claveprev;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + cast(vendedor as varchar(20));;10;dbo;mpersocf;m;m_vendedor
dbo.func_cas_todatetime(ultfecmod,ulthormod) lastmodifydate, rtrim(ltrim(compania)) compania, rtrim(ltrim(sucursal)) sucursal, cast(cast(articulo as bigint) as varchar(100)) articulo, nrosecu, cast(cast(material as bigint) as varchar(100)) material, porcent, factconv, cantidad, stkdisp, tipdist, fase, corrfase, feccrea, horcrea, usucrea, ultfecmod, ulthormod, ultusumod, case when lanza = 0x46 then 'F' when lanza = 0x54 then 'T' end lanza, tetiqueta, aprobadop, fecaprobadop, horaprobadop;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + rtrim(ltrim(sucursal)) + '|' + cast(cast(articulo as bigint) as varchar(100)) + '|' + cast(cast(material as bigint) as varchar(100));;40;dbo;forfab;m;m_formula_fabricacion
dbo.func_cas_todatetime(fecultmod,horultimod) lastmodifydate, compania,rtrim(ltrim(sucursal)) sucursal,replace(replace(nombre, char(13),''), char(10),'') nombre,replace(replace(direccion, char(13),''), char(10),'') direccion, zonapostal, telefono1, telefono2, fax, responsabl, fecoper, estado, feccrea, horcrea, usucrea, fecultmod, horultimod, ultusumod,case when esplanta = 0x46 then 'F' when esplanta = 0x54 then 'T' end esplanta,case when escomercia = 0x46 then 'F' when escomercia = 0x54 then 'T' end escomercia,case when dscimp = 0x46 then 'F' when dscimp = 0x54 then 'T' end dscimp,case when incobsenv = 0x46 then 'F' when incobsenv = 0x54 then 'T' end incobsenv,case when titbon = 0x46 then 'F' when titbon = 0x54 then 'T' end titbon,case when impteimpto = 0x46 then 'F' when impteimpto = 0x54 then 'T' end impteimpto, numlinguia,case when ptmoenv = 0x46 then 'F' when ptmoenv = 0x54 then 'T' end ptmoenv,case when vtaconsig = 0x46 then 'F' when vtaconsig = 0x54 then 'T' end vtaconsig, sucrep, tiposuc,case when flgcont13 = 0x46 then 'F' when flgcont13 = 0x54 then 'T' end flgcont13, ctrlpresu,case when flgvaligv = 0x46 then 'F' when flgvaligv = 0x54 then 'T' end flgvaligv, undneg,case when flgcodbar = 0x46 then 'F' when flgcodbar = 0x54 then 'T' end flgcodbar, cedis,case when flgfolliq = 0x46 then 'F' when flgfolliq = 0x54 then 'T' end flgfolliq,case when flgmodlp = 0x46 then 'F' when flgmodlp = 0x54 then 'T' end flgmodlp,case when flgcont3 = 0x46 then 'F' when flgcont3 = 0x54 then 'T' end flgcont3,case when flgcont4 = 0x46 then 'F' when flgcont4 = 0x54 then 'T' end flgcont4,case when flgcont5 = 0x46 then 'F' when flgcont5 = 0x54 then 'T' end flgcont5, validadep, ruc, inscestadu, inscmunici, unidfisca, codidenti, localidad,case when facpropco = 0x46 then 'F' when facpropco = 0x54 then 'T' end facpropco,cast(cast(cliente as int) as varchar(20)) cliente,cast(cast(cvecuotad as int) as varchar(20)) cvecuotad,case when flgcont6 = 0x46 then 'F' when flgcont6 = 0x54 then 'T' end flgcont6,case when flgcont7 = 0x46 then 'F' when flgcont7 = 0x54 then 'T' end flgcont7,case when flgcont8 = 0x46 then 'F' when flgcont8 = 0x54 then 'T' end flgcont8,case when flgcont9 = 0x46 then 'F' when flgcont9 = 0x54 then 'T' end flgcont9, equival1, equival2,case when cedi = 0x46 then 'F' when cedi = 0x54 then 'T' end cedi,case when flgccodbar = 0x46 then 'F' when flgccodbar = 0x54 then 'T' end flgccodbar,case when flgdifcamb = 0x46 then 'F' when flgdifcamb = 0x54 then 'T' end flgdifcamb;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + rtrim(ltrim(sucursal));;10;dbo;tcompa2f;m;m_sucursal
dbo.func_cas_todatetime(fecultimod,horultimod) lastmodifydate, compania, cliente, flgcontab, tiprelac, intercom, usuacreac, feccreacio, horcreacio, usuaulmod, fecultimod, horultimod;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');ltrim(rtrim(compania)) + '|' + ltrim(rtrim(cliente));;10;dbo;tcliafi1f;m;m_tipo_cliente
dbo.func_cas_todatetime(fecultmod,horultimod) lastmodifydate, compania,cast(cast(persona as int) as varchar(20)) persona,replace(replace(nombcomp, char(13),''), char(10),'') nombcomp, apellidopa, apellidoma,replace(replace(nombres, char(13),''), char(10),'') nombres, centrocost, flgtippers, sexo, stscivil, tipdocident, docidentid,rtrim(ltrim(sucursal)) sucursal, coddirec, fecnacim,case when flgcliente = 0x46 then 'F' when flgcliente = 0x54 then 'T' end flgcliente,case when flgprovee = 0x46 then 'F' when flgprovee = 0x54 then 'T' end flgprovee,case when flgemplead = 0x46 then 'F' when flgemplead = 0x54 then 'T' end flgemplead,case when flgtercero = 0x46 then 'F' when flgtercero = 0x54 then 'T' end flgtercero,case when flgobrero = 0x46 then 'F' when flgobrero = 0x54 then 'T' end flgobrero,case when flgvend = 0x46 then 'F' when flgvend = 0x54 then 'T' end flgvend, codigointe, fecrelacio, telefono, fax, nacionali, internet, procedenc, email, estado, feccrea, horcrea, usucrea, fecultmod, horultimod, ultusumod, inscestadu, inscmunici, unidfisca, ruc2, ruc3, ruc4, ruc5, tipdoc2, tipdoc3, tipdoc4, tipdoc5, ddn, ddi, subundfiscal;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + cast(cast(persona as int) as varchar(20));;10;dbo;mperso1f;m;m_persona
dbo.func_cas_todatetime(fecultmod,horultimod) lastmodifydate, compania, califica2,replace(replace(descrip, char(13),''), char(10),'') descrip, estado, feccrea, horcrea, usucrea, fecultmod, horultimod, ultusumod, califica2_corp;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + rtrim(ltrim(califica2));;10;dbo;bartic2f;m;m_presentacion
dbo.func_cas_todatetime(fecultmod,horultimod) lastmodifydate, compania, califica6,replace(replace(descrip, char(13),''), char(10),'') descrip, estado, feccrea, horcrea, usucrea, fecultmod, horultimod, ultusumod, califica6_corp;;;;;;rtrim(ltrim(compania)) + '|' + rtrim(ltrim(califica6));;10,20;dbo;bartic6f;m;m_color
dbo.func_cas_todatetime(ultfecmod,ulthormod) lastmodifydate, compania,sucursal,ejercicio,periodoctb,anio,mes,fecini,fecfin,usuario,feccrea,horcrea,usucrea,ultfecmod,ulthormod,ultusumod,comprobant,seccier,estado;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + rtrim(ltrim(sucursal)) + '|' + rtrim(ltrim(ejercicio)) + '|' + rtrim(ltrim(periodoctb));;30;dbo;ciealmcpm;m;i_cierre_almacen_cpm
dbo.func_cas_todatetime(fecultmod,horultimod) lastmodifydate,ejercicio,centrocost,nombre,area,gerencia,case when flgtrabcur = 0x46 then 'F' when flgtrabcur = 0x54 then 'T' end flgtrabcur,estado,feccrea,horcrea,usucrea,fecultmod,horultimod,ultusumod;;;;;;ltrim(rtrim(centrocost)) + '|' + ltrim(rtrim(ejercicio));;30;dbo;coccost1f;m;m_centro_costo_corporativo
dbo.func_cas_todatetime(fecultmod,horultimod) lastmodifydate, compania, califica1,replace(replace(descrip, char(13),''), char(10),'') descrip, estado, feccrea, horcrea, usucrea, fecultmod, horultimod, ultusumod, califica1_corp;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');rtrim(ltrim(compania)) + '|' + rtrim(ltrim(califica1));;10;dbo;bartic1f;m;m_marca
dbo.func_cas_todatetime(fecultimod,horultimod) lastmodifydate, compania, sucursal, efamilia, area, descripcion, nivcost, estado, funcion, factor, case when abalmproc = 0x46 then 'F' when abalmproc = 0x54 then 'T' end abalmproc,case when plan1 = 0x46 then 'F' when plan1 = 0x54 then 'T' end plan1,case when atenauto = 0x46 then 'F' when atenauto = 0x54 then 'T' end atenauto, usuacreac, feccreacio, horcreacio, usuaulmod, fecultimod, horultimod;;;;;compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');ltrim(rtrim(compania)) + '|' + ltrim(rtrim(sucursal)) + '|' + ltrim(rtrim(efamilia));;40;dbo;mfameq1f;m;m_familia_equipo
dbo.func_cas_todatetime(t2.ultfecmod,t2.ulthormod) lastmodifydate,t2.compania compania,rtrim(ltrim(t2.sucursal)) sucursal,t2.nropla nropla,t2.fecini fecini,t2.turno turno,t2.linea linea,t2.nrobotcorr nrobotcorr,t2.nroop nroop,t2.formato formato,t2.sabor sabor,t2.botellas botellas,t2.cajas cajas,t2.bmp bmp,t2.tideal tideal,t2.tbruto tbruto,t2.parxline parxline,t2.parajnli parajnli,t2.tparad tparad,t2.eficmec eficmec,t2.jorlab jorlab,t2.utlinea utlinea,t2.moempda moempda,t2.cjshh cjshh,t2.feccrea feccrea,t2.horcrea horcrea,t2.usucrea usucrea,t2.ultfecmod ultfecmod,t2.ulthormod ulthormod,t2.ultusumod ultusumod,t2.familia familia, t.feccrea feccrea_cabecera;-3;t.feccrea between {0} and {1};;aje_date;t2.compania in (select compania from dbo.mcompa1f b where b.flgbi = 'a');ltrim(rtrim(t2.compania)) + '|' + ltrim(rtrim(t2.sucursal)) + '|' + ltrim(rtrim(t2.nropla)) + '|' + ltrim(rtrim(t2.nroop)) + '|' + ltrim(rtrim(t2.nrobotcorr));inner join dbo.cabtpro(nolock) t on t.compania = t2.compania and t.sucursal = t2.sucursal and t.nropla = t2.nropla;40;dbo;dettpro t2;t;t_tiempo_produccion_vs_parada_detalle
